shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
X4_NB,41.968808,-87.674332,88
X4_NB,41.991487,-87.675032,89
X4_NB,42.008999,-87.675533,90
X4_NB,42.015663,-87.676005,91
X4_NB,42.019245,-87.676962,92
X4_NB,42.033421,-87.680254,93
X4_NB,42.044576,-87.682786,94
X4_NB,42.047763,-87.684631,95
X4_NB,42.064332,-87.698193,96
X4_NB,42.077266,-87.709265,97
X4_NB,42.086376,-87.716689,98
X4_NB,42.094497,-87.723813,99
X4_NB,42.105228,-87.732868,100
X4_SB,42.105228,-87.732868,1
X4_SB,42.094497,-87.723813,2
X4_SB,42.086376,-87.716689,3
X4_SB,42.077266,-87.709265,4
X4_SB,42.064332,-87.698193,5
X4_SB,42.047763,-87.684631,6
X4_SB,42.044576,-87.682786,7
X4_SB,42.033421,-87.680254,8
X4_SB,42.019245,-87.676962,9
X4_SB,42.015663,-87.676005,10
X4_SB,42.008999,-87.675533,11
X4_SB,41.991487,-87.675032,12
X4_SB,41.968808,-87.674332,13
X4_SB,41.946957,-87.673744,14
X4_SB,41.943859,-87.67369,15
X4_SB,41.930922,-87.673345,16
X4_SB,41.927889,-87.672787,17
X4_SB,41.917096,-87.668152,18
X4_SB,41.910198,-87.663774,19
X4_SB,41.907036,-87.660985,20
X4_SB,41.905727,-87.66047,21
X4_SB,41.903426,-87.660335,22
X4_SB,41.901606,-87.659869,23
X4_SB,41.900265,-87.658753,24
X4_SB,41.899083,-87.65665,25
X4_SB,41.898248,-87.652831,26
X4_SB,41.897434,-87.650192,27
X4_SB,41.896827,-87.648754,28
X4_SB,41.895693,-87.647316,29
X4_SB,41.894247,-87.645837,30
X4_SB,41.890518,-87.642038,31
X4_SB,41.888957,-87.641394,32
X4_SB,41.88683,-87.641334,33
X4_SB,41.884432,-87.641273,34
X4_SB,41.877742,-87.641044,35
X4_SB,41.87525,-87.641001,36
X4_SB,41.86978,-87.640785,37
X4_SB,41.868573,-87.64073,38
X4_SB,41.868102,-87.640612,39
X4_SB,41.867926,-87.640505,40
X4_SB,41.867759,-87.640322,41
X4_SB,41.867599,-87.640097,42
X4_SB,41.867471,-87.639882,43
X4_SB,41.867359,-87.639636,44
X4_SB,41.867287,-87.639314,45
X4_SB,41.867255,-87.63897,46
X4_SB,41.867383,-87.631235,47
X4_SB,41.867433,-87.627466,48
X4_SB,41.867463,-87.623939,49
X4_SB,41.867487,-87.623381,50
X4_SB,41.867583,-87.622813,51
X4_SB,41.867671,-87.622341,52
X4_SB,41.867719,-87.62189,53
X4_SB,41.867711,-87.621547,54
X4_SB,41.867623,-87.621214,55
X4_SB,41.867471,-87.620946,56
X4_SB,41.867239,-87.620678,57
X4_SB,41.866928,-87.62042,58
X4_SB,41.866584,-87.620281,59
X4_SB,41.866398,-87.620222,60
X4_SB,41.866105,-87.620174,61
X4_SB,41.865248,-87.620098,62
X4_SB,41.863969,-87.620066,63
X4_SB,41.858502,-87.618198,64
X4_SB,41.851534,-87.61631,65
X4_SB,41.844182,-87.61322,66
X4_SB,41.833918,-87.608886,67
X4_SB,41.824736,-87.602285,68
X4_SB,41.80974,-87.591333,69
X4_SB,41.805902,-87.588587,70
X4_SB,41.802671,-87.587428,71
X4_SB,41.800015,-87.586784,72
X4_SB,41.797328,-87.586827,73
X4_SB,41.79336,-87.587643,74
